,Lat,Lon,Shape
556,-60.2422242901,43.4629150189,1
557,-60.1868099371,43.1589837931,1
558,-60.2323882479,42.8485763443,1
559,-60.122267576,42.4484003113,1
560,-60.1124780493,42.0408200583,1
561,-59.9996279363,41.6454709856,1
562,-60.0885640037,41.2265989257,1
563,-60.0744435731,40.8200393998,1
564,-60.1603739683,40.3975632461,1
565,-60.0969856958,40.1009075462,1
566,-60.1342376929,39.7870885834,1
567,-60.0692861457,39.4920794502,1
568,-60.1048665869,39.1777984372,1
569,-60.0383635801,38.8844964337,1
570,-60.11710041,38.4570320596,1
571,-60.0931820045,38.0519779939,1
572,-60.1688195744,37.6214641573,1
573,-60.0983442954,37.3312527839,1
574,-60.1279798807,37.0142192034,1
575,-59.9405097676,36.5544586033,1
576,-59.8518201618,36.0694098996,1
577,-59.6608442334,35.6202127097,1
578,-59.7271709573,35.1902343552,1
579,-59.6328140692,34.7130977146,1
580,-59.6362828069,34.2016233926,1
581,-59.4978980339,33.8467199846,1
582,-59.5178113805,33.5333079185,1
583,-59.4374560391,33.2601618322,1
584,-59.4557327067,32.9470239896,1
585,-59.373985923,32.6760888032,1
586,-59.3906316893,32.3632907621,1
587,-59.3075101647,32.0946057358,1
588,-59.4726965975,31.3024945251,1
589,-59.5340189632,30.5515637907,1
590,-59.8650096953,29.1240534948,1
591,-59.8825165569,28.1650758922,1
592,-59.9888033563,27.1431279913,1
593,-59.8291357763,26.8205490577,1
594,-59.8294046429,26.50117631,1
595,-59.7325273902,26.2467445656,1
596,-59.7311881768,25.9284576011,1
597,-59.5683277578,25.6154843206,1
598,-59.5612317382,24.9826972545,1
599,-59.3901911865,24.3624530153,1
600,-59.376099075,23.7340494992,1
601,-59.2075916293,23.4372450558,1
602,-59.1984080095,23.1251814833,1
603,-59.0944670206,22.8877004107,1
604,-59.0284444061,22.8336541779,1
605,-58.8686510014,22.8537673691,1
606,-58.8026818415,22.8002065579,1
607,-58.169705549,22.1524514453,1
608,-57.6272155983,21.4565551326,1
609,-56.9902569221,20.8602408191,1
610,-56.9740921879,20.571247071,1
611,-56.8660127232,20.3591012217,1
612,-56.8727400536,19.9499236417,1
613,-56.7873308657,19.6190835563,1
614,-56.8144119692,19.0887952401,1
615,-56.726317697,18.7609525851,1
616,-56.7711270802,18.1084806779,1
617,-56.701552763,17.6612788542,1
618,-56.7186708084,17.1311447939,1
619,-56.6039867583,16.9328523409,1
620,-56.5771142783,16.6501054986,1
621,-56.4616030473,16.454444273,1
